,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
61,Marawi,PH,2020-10-15 19:05:43,8.0,124.29,73.99,91,100,4.0,light rain
62,Cravo Norte,CO,2020-10-15 19:05:43,6.3,-70.2,91.96,49,65,3.74,broken clouds
63,La Libertad,EC,2020-10-15 19:05:43,-2.23,-80.9,77.0,78,75,11.41,broken clouds
64,Saint-Denis,FR,2020-10-15 19:05:34,48.92,2.33,50.0,66,90,8.05,overcast clouds
65,Gao,ML,2020-10-15 19:05:44,16.64,1.64,96.08,14,7,7.43,clear sky
66,Numan,NG,2020-10-15 19:05:44,9.47,12.03,81.55,67,95,3.91,overcast clouds
67,Yellowknife,CA,2020-10-15 19:05:44,62.46,-114.35,27.0,73,75,23.04,light shower snow
68,Muravlenko,RU,2020-10-15 19:05:44,63.79,74.52,30.43,93,98,16.06,overcast clouds
69,San Patricio,US,2020-10-15 19:05:44,28.02,-97.52,93.99,55,75,13.87,broken clouds
70,Coquimbo,CL,2020-10-15 19:05:17,-29.95,-71.34,59.0,77,40,12.75,scattered clouds
71,Hilo,US,2020-10-15 19:05:28,19.73,-155.09,78.8,65,1,4.7,clear sky
72,Tuktoyaktuk,CA,2020-10-15 19:05:44,69.45,-133.04,19.4,85,90,10.29,light snow
73,Yenagoa,NG,2020-10-15 19:05:44,4.92,6.26,75.74,93,100,5.91,overcast clouds
74,Kilindoni,TZ,2020-10-15 19:05:44,-7.91,39.67,78.4,84,0,17.02,light rain
75,Iqaluit,CA,2020-10-15 19:05:45,63.75,-68.51,37.4,93,90,5.82,overcast clouds
76,Colesberg,ZA,2020-10-15 19:05:45,-30.72,25.1,72.21,18,0,7.52,clear sky
77,Carnarvon,AU,2020-10-15 19:05:45,-24.87,113.63,66.2,88,40,21.92,scattered clouds
78,Halifax,CA,2020-10-15 19:03:28,44.65,-63.57,63.0,59,20,9.17,few clouds
79,Port Elizabeth,ZA,2020-10-15 19:05:45,-33.92,25.57,60.8,93,3,10.29,clear sky
80,Nikolskoye,RU,2020-10-15 19:05:45,59.7,30.79,41.0,85,75,6.71,broken clouds
81,Bluff,NZ,2020-10-15 19:05:45,-46.6,168.33,47.35,51,100,22.75,overcast clouds
82,Grindavik,IS,2020-10-15 19:05:45,63.84,-22.43,48.2,81,90,8.05,overcast clouds
83,Kalbay,PH,2020-10-15 19:05:45,5.72,125.5,78.28,72,100,3.94,overcast clouds
84,Husavik,IS,2020-10-15 19:05:45,66.04,-17.34,35.6,80,0,2.24,clear sky
85,Khrebtovaya,RU,2020-10-15 19:05:46,56.7,104.25,37.15,98,100,14.65,light rain
86,Esmeraldas,BR,2020-10-15 19:03:37,-19.76,-44.31,77.0,61,75,6.93,thunderstorm
87,Kavieng,PG,2020-10-15 19:05:46,-2.57,150.8,82.0,75,32,9.28,scattered clouds
88,Progreso,MX,2020-10-15 19:05:46,21.28,-89.67,93.99,52,75,9.1,broken clouds
89,Yulara,AU,2020-10-15 19:05:46,-25.24,130.99,64.4,27,0,5.32,clear sky
90,La Ronge,CA,2020-10-15 19:05:46,55.1,-105.28,24.8,53,90,21.92,light snow
91,Taltal,CL,2020-10-15 19:00:47,-25.4,-70.48,63.66,62,42,6.58,scattered clouds
92,Caravelas,BR,2020-10-15 19:05:46,-17.71,-39.25,80.4,73,56,11.18,broken clouds
93,Arraial Do Cabo,BR,2020-10-15 19:05:47,-22.97,-42.03,77.0,83,20,13.87,few clouds
94,Vardo,NO,2020-10-15 19:03:07,70.37,31.11,39.2,86,40,18.34,scattered clouds
95,Ilulissat,GL,2020-10-15 19:02:16,69.22,-51.1,34.41,83,100,5.21,overcast clouds
96,Nouadhibou,MR,2020-10-15 19:05:47,20.93,-17.03,78.8,65,0,16.11,clear sky
97,Barrow,US,2020-10-15 19:05:47,71.29,-156.79,28.4,63,90,4.34,overcast clouds
98,San Quintin,MX,2020-10-15 19:05:47,30.48,-115.95,84.76,32,0,7.85,clear sky
99,Parrita,CR,2020-10-15 19:05:47,9.52,-84.32,78.8,65,20,8.05,few clouds
