City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Bengkulu,ID,2020-10-14 18:47:27,-3.8,102.27,76.37,87,100,3.15
70,Kuching,MY,2020-10-14 18:47:27,1.55,110.33,73.4,100,40,1.97
71,Avarua,CK,2020-10-14 18:47:27,-21.21,-159.78,71.6,64,99,6.93
72,Harper,LR,2020-10-14 18:47:27,4.38,-7.72,76.91,89,21,7.47
73,Solhan,TR,2020-10-14 18:47:27,38.96,41.03,52.11,49,17,1.99
74,South Jordan,US,2020-10-14 18:47:27,40.56,-111.93,63.0,48,75,16.11
75,Meulaboh,ID,2020-10-14 18:47:28,4.14,96.13,78.37,78,100,4.18
76,Khagaria,IN,2020-10-14 18:47:28,25.5,86.48,80.53,65,10,3.85
77,Kaitangata,NZ,2020-10-14 18:47:28,-46.28,169.85,39.0,90,2,1.99
78,Faanui,PF,2020-10-14 18:47:28,-16.48,-151.75,78.44,81,5,11.16
79,Sakakah,SA,2020-10-14 18:47:28,29.97,40.21,82.4,15,60,5.82
80,Komsomolskiy,UZ,2020-10-14 18:47:28,40.43,71.72,51.8,71,0,9.17
81,Zaoyang,CN,2020-10-14 18:47:28,32.13,112.75,54.97,85,100,10.25
82,Castro,BR,2020-10-14 18:47:29,-24.79,-50.01,80.02,49,100,2.51
83,Tome,CL,2020-10-14 18:47:29,-36.62,-72.95,62.6,63,0,13.87
84,San Quintin,MX,2020-10-14 18:47:29,30.48,-115.95,84.52,37,0,9.35
85,Sao Filipe,CV,2020-10-14 18:47:29,14.9,-24.5,79.75,80,14,9.66
86,Cockburn Town,TC,2020-10-14 18:47:29,21.46,-71.14,83.75,75,7,10.92
87,Nishihara,JP,2020-10-14 18:47:29,26.18,127.76,78.8,94,75,12.91
88,Tavricheskoye,RU,2020-10-14 18:47:30,54.59,73.64,53.6,34,40,11.18
89,Khandyga,RU,2020-10-14 18:47:30,62.67,135.6,20.64,95,83,2.86
90,Ribeira Brava,PT,2020-10-14 18:47:30,32.65,-17.07,71.6,73,75,11.41
91,Hobart,AU,2020-10-14 18:44:08,-42.88,147.33,55.4,71,40,14.99
92,Grand Gaube,MU,2020-10-14 18:47:30,-20.01,57.66,73.99,77,16,4.0
93,Tiksi,RU,2020-10-14 18:47:30,71.69,128.87,10.6,91,0,2.21
94,Petatlan,MX,2020-10-14 18:47:30,17.52,-101.27,91.4,59,75,9.17
95,Abay,KZ,2020-10-14 18:47:30,49.63,72.85,23.0,85,0,4.47
96,Najran,SA,2020-10-14 18:47:31,17.49,44.13,73.4,18,0,1.23
97,Semme,FR,2020-10-14 18:47:31,46.2,1.5,46.4,93,75,9.17
98,Mount Isa,AU,2020-10-14 18:47:31,-20.73,139.5,77.0,38,0,8.05
99,Mino,JP,2020-10-14 18:47:31,34.83,135.47,63.0,100,0,1.99
100,Mogadishu,SO,2020-10-14 18:47:31,2.04,45.34,79.57,82,32,16.37
101,Paramonga,PE,2020-10-14 18:47:32,-10.67,-77.83,68.41,67,13,8.75
102,Tuktoyaktuk,CA,2020-10-14 18:47:32,69.45,-133.04,21.2,85,75,11.41
103,Barrow,US,2020-10-14 18:47:24,71.29,-156.79,24.8,68,90,14.99
104,Chuy,UY,2020-10-14 18:47:32,-33.7,-53.46,64.9,73,3,8.28
105,Chokurdakh,RU,2020-10-14 18:47:32,70.63,147.92,20.37,98,97,2.89
106,Qaanaaq,GL,2020-10-14 18:47:32,77.48,-69.36,31.23,84,27,6.49
107,Khatanga,RU,2020-10-14 18:47:32,71.97,102.5,25.39,99,100,9.26
108,Ahuimanu,US,2020-10-14 18:47:32,21.44,-157.84,82.0,74,20,3.36
109,Balsas,BR,2020-10-14 18:47:32,-7.53,-46.04,99.12,16,0,8.99
110,Xinpu,CN,2020-10-14 18:47:32,34.6,119.16,60.08,81,100,5.68
111,Souillac,MU,2020-10-14 18:47:32,-20.52,57.52,73.4,83,20,6.93
112,Kodiak,US,2020-10-14 18:47:33,57.79,-152.41,37.4,86,1,5.82
113,Nanortalik,GL,2020-10-14 18:47:33,60.14,-45.24,37.56,87,15,2.98
114,Berlevag,NO,2020-10-14 18:47:33,70.86,29.09,39.2,86,40,16.11
115,Lisakovsk,KZ,2020-10-14 18:47:33,52.54,62.49,51.12,43,100,10.65
116,Passos,BR,2020-10-14 18:47:33,-20.72,-46.61,81.93,47,81,7.83
117,Burnie,AU,2020-10-14 18:47:33,-41.07,145.92,55.99,90,100,3.0
118,Pertuis,FR,2020-10-14 18:47:33,43.69,5.5,53.6,66,100,4.7
119,Bluff,NZ,2020-10-14 18:47:34,-46.6,168.33,34.0,93,0,7.2
120,Iqaluit,CA,2020-10-14 18:47:34,63.75,-68.51,35.6,95,90,21.92
121,Sitka,US,2020-10-14 18:47:34,57.05,-135.33,44.6,87,75,6.93
122,Rawson,AR,2020-10-14 18:47:34,-43.3,-65.1,62.56,28,0,13.62
123,Norman Wells,CA,2020-10-14 18:47:34,65.28,-126.83,21.2,79,90,13.87
124,Alugan,PH,2020-10-14 18:47:34,12.22,125.48,76.84,87,100,2.53
125,Sibolga,ID,2020-10-14 18:47:34,1.74,98.78,77.31,80,100,3.44
126,Leeton,AU,2020-10-14 18:47:34,-34.57,146.4,55.0,81,2,3.36
127,Ulaangom,MN,2020-10-14 18:47:34,49.98,92.07,34.61,74,0,3.49
128,Bac Lieu,VN,2020-10-14 18:47:35,9.29,105.72,78.39,86,100,14.9
129,Beloha,MG,2020-10-14 18:47:35,-25.17,45.05,61.95,81,0,5.93
130,Arman,RU,2020-10-14 18:47:35,59.7,150.17,35.19,85,100,3.62
131,Longyearbyen,SJ,2020-10-14 18:47:35,78.22,15.64,26.6,86,20,5.82
132,Port Alfred,ZA,2020-10-14 18:47:35,-33.59,26.89,61.59,80,0,18.95
